id,title,vote_count,vote_average,score
278,The Shawshank Redemption,8358.0,8.5,8.074000353958844
155,The Dark Knight,12269.0,8.3,8.019103278958022
550,Fight Club,9678.0,8.3,7.957204444193479
238,The Godfather,6024.0,8.5,7.951309175723531
680,Pulp Fiction,8670.0,8.3,7.925061232341055
27205,Inception,14075.0,8.1,7.876255388881098
157336,Interstellar,11187.0,8.1,7.827549813227962
13,Forrest Gump,8147.0,8.2,7.826225022573173
122,The Lord of the Rings: The Return of the King,8226.0,8.1,7.7492722160115965
1891,The Empire Strikes Back,5998.0,8.2,7.726788602876313
11,Star Wars,6778.0,8.1,7.691939104940163
77338,The Intouchables,5410.0,8.2,7.68963904893954
120,The Lord of the Rings: The Fellowship of the Ring,8892.0,8.0,7.6895184533838306
424,Schindler's List,4436.0,8.3,7.681429721622283
244786,Whiplash,4376.0,8.3,7.675680882690342
121,The Lord of the Rings: The Two Towers,7641.0,8.0,7.649562233588766
807,Se7en,5915.0,8.1,7.647891730980771
118340,Guardians of the Galaxy,10014.0,7.9,7.635521231244111
129,Spirited Away,3968.0,8.3,7.633563768649662
603,The Matrix,9079.0,7.9,7.613360754784699
101,Leon: The Professional,4293.0,8.2,7.600187039691934
637,Life Is Beautiful,3643.0,8.3,7.595717592256567
105,Back to the Future,6239.0,8.0,7.590502646921151
497,The Green Mile,4166.0,8.2,7.587990937264101
205596,The Imitation Game,5895.0,8.0,7.572838951291821
240,The Godfather: Part II,3418.0,8.3,7.566895296356772
68718,Django Unchained,10297.0,7.8,7.558373589180268
274,The Silence of the Lambs,4549.0,8.1,7.55472767098933
8587,The Lion King,5520.0,8.0,7.551761787196589
106646,The Wolf of Wall Street,6768.0,7.9,7.5384933227024025
150540,Inside Out,6737.0,7.9,7.5372222814697505
16869,Inglourious Basterds,6598.0,7.9,7.531411450239368
77,Memento,4168.0,8.1,7.521476963580809
12445,Harry Potter and the Deathly Hallows: Part 2,6141.0,7.9,7.510921729800657
510,One Flew Over the Cuckoo's Nest,3001.0,8.3,7.506728465071436
210577,Gone Girl,6023.0,7.9,7.505255739527545
694,The Shining,3890.0,8.1,7.494537139273313
120467,The Grand Budapest Hotel,4644.0,8.0,7.493365059913401
500,Reservoir Dogs,3821.0,8.1,7.487457442378721
1124,The Prestige,4510.0,8.0,7.483063148370582
98,Gladiator,5566.0,7.9,7.481661794100761
769,GoodFellas,3211.0,8.2,7.477525207118705
14160,Up,7048.0,7.8,7.4723691512995485
73,American History X,3120.0,8.2,7.464881776671836
857,Saving Private Ryan,5148.0,7.9,7.457468852801239
11324,Shutter Island,6559.0,7.8,7.4538239015858085
10681,WALL·E,6439.0,7.8,7.448947580934824
177572,Big Hero 6,6289.0,7.8,7.442655529618975
1892,Return of the Jedi,4763.0,7.9,7.432571039479276
629,The Usual Suspects,3334.0,8.1,7.432357519852365
348,Alien,4564.0,7.9,7.418570578436731
1422,The Departed,4455.0,7.9,7.410540554190119
539,Psycho (1960),2405.0,8.3,7.401311496138132
152601,Her,4215.0,7.9,7.391879521617284
185,A Clockwork Orange,3432.0,8.0,7.381963188092184
49026,The Dark Knight Rises,9263.0,7.6,7.373021303506118
264644,Room,2838.0,8.1,7.365022416780308
78,Blade Runner,3833.0,7.9,7.359052925291897
37165,The Truman Show,4702.0,7.8,7.359035674784496
673,Harry Potter and the Prisoner of Azkaban,6037.0,7.7,7.357186134521553
207,Dead Poets Society,2786.0,8.1,7.357168075012016
76203,12 Years a Slave,3787.0,7.9,7.354811613292208
38,Eternal Sunshine of the Spotless Mind,3758.0,7.9,7.352103391533794
103,Taxi Driver,2632.0,8.1,7.3328902035473025
111,Scarface (1983),3017.0,8.0,7.331641863193619
286217,The Martian,7442.0,7.6,7.329613366443294
862,Toy Story,5415.0,7.7,7.328736281710313
14,American Beauty,3438.0,7.9,7.3203294692059035
24,Kill Bill: Vol. 1,5091.0,7.7,7.3119617337458385
269149,Zootopia,4961.0,7.7,7.3047972211995145
12,Finding Nemo,6292.0,7.6,7.292472123532118
146233,Prisoners,3183.0,7.9,7.292243322586138
389,12 Angry Men (1957),2130.0,8.2,7.2920134430586385
429,"The Good, the Bad and the Ugly",2371.0,8.1,7.287907524147589
207703,Kingsman: The Secret Service,6069.0,7.6,7.284056472871316
752,V for Vendetta,4562.0,7.7,7.281056315480351
62,2001: A Space Odyssey,3075.0,7.9,7.279510372477855
100402,Captain America: The Winter Soldier,5881.0,7.6,7.276595380526786
4935,Howl's Moving Castle,2049.0,8.2,7.274200945665294
128,Princess Mononoke,2041.0,8.2,7.272403692013908
152532,Dallas Buyers Club,2973.0,7.9,7.2669850274799295
140607,Star Wars: The Force Awakens,7993.0,7.5,7.2650526404484
280,Terminator 2: Judgment Day,4274.0,7.7,7.262067217180606
597,Titanic (1997),7770.0,7.5,7.259733500637537
489,Good Will Hunting,2880.0,7.9,7.255115877096486
194,Amélie,3403.0,7.8,7.254564056685673
266856,The Theory of Everything,3403.0,7.8,7.254564056685673
272,Batman Begins,7511.0,7.5,7.253245194126204
393,Kill Bill: Vol. 2,4061.0,7.7,7.24687743665145
24428,The Avengers (2012),12000.0,7.4,7.246688517686833
22,Pirates of the Caribbean: The Curse of the Black Pearl,7191.0,7.5,7.244728101716083
671,Harry Potter and the Philosopher's Stone,7188.0,7.5,7.244645471178061
293660,Deadpool,11444.0,7.4,7.2403855378498685
85,Raiders of the Lost Ark,3949.0,7.7,7.23845976407247
640,Catch Me If You Can,3917.0,7.7,7.235996964224267
137113,Edge of Tomorrow,4979.0,7.6,7.235270400640989
329,Jurassic Park,4956.0,7.6,7.234078126564958
13223,Gran Torino,3181.0,7.8,7.231547913324535
264660,Ex Machina,4862.0,7.6,7.22912322828668
598,City of God,1852.0,8.2,7.227816222130167
5915,Into the Wild,3139.0,7.8,7.22697324071024
10193,Toy Story 3,4710.0,7.6,7.220820771081483
57158,The Hobbit: The Desolation of Smaug,4633.0,7.6,7.216471446175633
600,Full Metal Jacket,2595.0,7.9,7.215801665173897
127585,X-Men: Days of Future Past,6155.0,7.5,7.21261355498269
585,"Monsters, Inc.",6150.0,7.5,7.212438957053775
115,The Big Lebowski,3001.0,7.8,7.211409676262257
141,Donnie Darko,3574.0,7.7,7.2078479637429975
641,Requiem for a Dream,2525.0,7.9,7.20540114324905
1726,Iron Man,8951.0,7.4,7.2043125927145635
273248,The Hateful Eight,4405.0,7.6,7.202987223433444
674,Harry Potter and the Goblet of Fire,5758.0,7.5,7.19805714435595
423,The Pianist,1927.0,8.1,7.197921609854058
12444,Harry Potter and the Deathly Hallows: Part 1,5708.0,7.5,7.1961186184560395
197,Braveheart,3404.0,7.7,7.192591470492021
28,Apocalypse Now,2112.0,8.0,7.187350038670479
679,Aliens,3282.0,7.7,7.181046446648088
314365,Spotlight,2751.0,7.8,7.180950329563483
627,Trainspotting,2737.0,7.8,7.179151121478261
745,The Sixth Sense,3223.0,7.7,7.175272630253862
11036,The Notebook,3163.0,7.7,7.169267682240859
222935,The Fault in Our Stars,3868.0,7.6,7.167143636816838
670,Oldboy (2003),2000.0,8.0,7.1650417271301645
453,A Beautiful Mind,3087.0,7.7,7.161461209147507
6977,No Country for Old Men,3083.0,7.7,7.161043975751212
84892,The Perks of Being a Wallflower,3056.0,7.7,7.1582106513117765
101299,The Hunger Games: Catching Fire,6656.0,7.4,7.152904033860623
107,Snatch,2953.0,7.7,7.147122859278299
567,Rear Window,1531.0,8.2,7.141392706795916
2062,Ratatouille,4510.0,7.5,7.140875423122287
242582,Nightcrawler,3475.0,7.6,7.136520039713176
76341,Mad Max: Fury Road,9629.0,7.3,7.133407521135945
672,Harry Potter and the Chamber of Secrets,5966.0,7.4,7.131713718654071
10191,How to Train Your Dragon,4319.0,7.5,7.130156040382362
675,Harry Potter and the Order of the Phoenix,5633.0,7.4,7.120130688595767
89,Indiana Jones and the Last Crusade,3221.0,7.6,7.114311961932241
767,Harry Potter and the Half-Blood Prince,5435.0,7.4,7.112756837318241
562,Die Hard,4005.0,7.5,7.111071084331789
50014,The Help,1966.0,7.9,7.109433382667783
82702,How to Train Your Dragon 2,3163.0,7.6,7.108939050459133
9806,The Incredibles,5290.0,7.4,7.107105474881745
1402,The Pursuit of Happyness,2607.0,7.7,7.106308365697247
8392,My Neighbor Totoro,1730.0,8.0,7.105870679301491
1417,Pan's Labyrinth,3122.0,7.6,7.1050686751323475
2108,The Breakfast Club,2189.0,7.8,7.099453494326406
70,Million Dollar Baby,2519.0,7.7,7.094948193523459
162,Edward Scissorhands,3731.0,7.5,7.092732168510264
122906,About Time,2140.0,7.8,7.091319090179911
12405,Slumdog Millionaire,2918.0,7.6,7.084867194470675
99861,Avengers: Age of Ultron,6908.0,7.3,7.082973536190646
194662,Birdman,4657.0,7.4,7.079585271466274
19995,Avatar,12114.0,7.2,7.077227409889757
190859,American Sniper,4600.0,7.4,7.07685117322805
13475,Star Trek,4574.0,7.4,7.075588484224365
45269,The King's Speech,2817.0,7.6,7.074242537621318
281957,The Revenant (2015),6558.0,7.3,7.074179868441552
54138,Star Trek Into Darkness,4479.0,7.4,7.070889699510548
96721,Rush (2013),2310.0,7.7,7.066142437750933
8358,Cast Away,3304.0,7.5,7.060431838075152
296096,Me Before You,2674.0,7.6,7.0584276222098925
218,The Terminator,4208.0,7.4,7.056705602717056
49047,Gravity,5879.0,7.3,7.054914529505112
75656,Now You See Me,5635.0,7.3,7.047163234318397
228150,Fury (2014),4028.0,7.4,7.046588789136243
137106,The Lego Movie,3127.0,7.5,7.045489584997881
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1472.0,8.0,7.04092456104526
109445,Frozen,5440.0,7.3,7.040606918211519
165,Back to the Future Part II,3926.0,7.4,7.040586750573134
109424,Captain Phillips,2495.0,7.6,7.037238001421811
10020,Beauty and the Beast (1991),3029.0,7.5,7.036771155443821
64690,Drive,3832.0,7.4,7.034872080211219
31011,Mr. Nobody,1616.0,7.9,7.034568106875016
311,Once Upon a Time in America,1104.0,8.3,7.034096639270313
275,Fargo,2080.0,7.7,7.031097007080545
7345,There Will Be Blood,1581.0,7.9,7.0262942664075485
762,Monty Python and the Holy Grail,1742.0,7.8,7.017520374312776
812,Aladdin,3495.0,7.4,7.012800472579075
38757,Tangled,3419.0,7.4,7.007449057475467
44214,Black Swan,4562.0,7.3,7.006317722145561
119450,Dawn of the Planet of the Apes,4511.0,7.3,7.004045243038517
949,Heat,1886.0,7.7,6.998376680140878
578,Jaws,2628.0,7.5,6.997315603310297
289,Casablanca,1462.0,7.9,6.996940102091988
1091,The Thing (1982),1629.0,7.8,6.993680689846105
18785,The Hangover,6324.0,7.2,6.9926417928003755
168259,Furious 7,4253.0,7.3,6.991988251068571
9479,The Nightmare Before Christmas,2135.0,7.6,6.989172349518906
138843,The Conjuring,3169.0,7.4,6.988752416122217
808,Shrek,4183.0,7.3,6.988545652544682
335,Once Upon a Time in the West,1160.0,8.1,6.9843707447969
10674,Mulan,2089.0,7.6,6.982432505692012
87827,Life of Pi,5912.0,7.2,6.981952088614758
747,Shaun of the Dead,2479.0,7.5,6.980886387129649
235,Stand by Me,1568.0,7.8,6.980197643773822
587,Big Fish,2064.0,7.6,6.978706788113929
18,The Fifth Element,3962.0,7.3,6.977153401568155
28178,Hachi: A Dog's Tale,1769.0,7.7,6.977048804116633
36557,Casino Royale (2006),3930.0,7.3,6.975434403714625
15,Citizen Kane,1244.0,8.0,6.975138613578638
863,Toy Story 2,3914.0,7.3,6.974568021856157
64682,The Great Gatsby (2013),3885.0,7.3,6.972985858155511
2501,The Bourne Identity (2002),3640.0,7.3,6.958979011111061
426,Vertigo,1162.0,8.0,6.949216365028676
12477,Grave of the Fireflies,974.0,8.2,6.948316768317985
17654,District 9,3451.0,7.3,6.9473258652862
4922,The Curious Case of Benjamin Button,3398.0,7.3,6.943913689355455
4348,Pride & Prejudice,1406.0,7.8,6.942099569587835
17431,Moon,1831.0,7.6,6.9416924262914925
601,E.T. the Extra-Terrestrial,3359.0,7.3,6.941360371874114
271110,Captain America: Civil War,7462.0,7.1,6.939169875612921
8681,Taken,4444.0,7.2,6.932887590279618
11321,Seven Pounds,2092.0,7.5,6.932732174308109
380,Rain Man,1762.0,7.6,6.929869465923479
1585,It's a Wonderful Life,1103.0,8.0,6.929738762658765
9552,The Exorcist,2046.0,7.5,6.926407735092455
1018,Mulholland Drive,1517.0,7.7,6.926399309027013
524,Casino,1343.0,7.8,6.926309760471147
63,Twelve Monkeys,2470.0,7.4,6.925573246871881
20352,Despicable Me,6595.0,7.1,6.923096040277432
85350,Boyhood,2008.0,7.5,6.921075843541314
14574,The Boy in the Striped Pyjamas,1492.0,7.7,6.920984894694695
83666,Moonrise Kingdom,1701.0,7.6,6.919057907299678
346,Seven Samurai,892.0,8.2,6.913781185620456
137,Groundhog Day,2358.0,7.4,6.913600197074035
1372,Blood Diamond,2344.0,7.4,6.912060939794689
2503,The Bourne Ultimatum,2938.0,7.3,6.91127093625977
161,Ocean's Eleven (2001),3857.0,7.2,6.906477567539682
4638,Hot Fuzz,2252.0,7.4,6.901698310138555
782,Gattaca,1846.0,7.5,6.897187176251535
1366,Rocky,1843.0,7.5,6.8967261868248935
19908,Zombieland,3655.0,7.2,6.896138936626251
277216,Straight Outta Compton,1381.0,7.7,6.896000229591504
49538,X-Men: First Class,5252.0,7.1,6.890692379872301
318846,The Big Short,2679.0,7.3,6.8901148351221835
11216,Cinema Paradiso,834.0,8.2,6.88817996005584
2118,L.A. Confidential,1340.0,7.7,6.886361494935516
9693,Children of Men,2120.0,7.4,6.8860372134441405
2493,The Princess Bride,1518.0,7.6,6.884423628623164
122917,The Hobbit: The Battle of the Five Armies,4884.0,7.1,6.879631817374437
3082,Modern Times,881.0,8.1,6.879248887892302
773,Little Miss Sunshine,1728.0,7.5,6.878507331925239
293863,The Age of Adaline,2052.0,7.4,6.877578865815103
59436,Midnight in Paris,2049.0,7.4,6.877199286647869
59440,Warrior,1297.0,7.7,6.876001123678087
322,Mystic River,1473.0,7.6,6.8753604735796205
23483,Kick-Ass,4747.0,7.1,6.875209573031107
10386,The Iron Giant,1470.0,7.6,6.874748093523772
49051,The Hobbit: An Unexpected Journey,8427.0,7.0,6.873737097312228
82690,Wreck-It Ralph,4656.0,7.1,6.872172743949214
100,"Lock, Stock and Two Smoking Barrels",1671.0,7.5,6.86906303592549
620,Ghostbusters (1984),2431.0,7.3,6.867580441947863
117,The Untouchables,1424.0,7.6,6.8652269566074615
279,Amadeus,1107.0,7.8,6.861611256720286
583,Life of Brian,1230.0,7.7,6.859321740390252
19913,(500) Days of Summer,2993.0,7.2,6.856486264324449
114150,Pitch Perfect,2310.0,7.3,6.855661680566911
1895,Star Wars: Episode III - Revenge of the Sith,4200.0,7.1,6.855629741415889
582,The Lives of Others,977.0,7.9,6.853665252818892
2649,The Game,1556.0,7.5,6.849107384481281
213,North by Northwest,1062.0,7.8,6.84817135683404
2502,The Bourne Supremacy,2873.0,7.2,6.848163618571703
425,Ice Age,3954.0,7.1,6.845666933700928
142,Brokeback Mountain,1531.0,7.5,6.844601003781474
103663,The Hunt,946.0,7.9,6.842945849932984
51876,Limitless,3888.0,7.1,6.842854245528985
703,Annie Hall,1044.0,7.8,6.842686981099158
829,Chinatown,939.0,7.9,6.840494872258472
187,Sin City,2755.0,7.2,6.839576830081948
106,Predator,2129.0,7.3,6.836553533447704
1359,American Psycho,2128.0,7.3,6.836443397522479
102899,Ant-Man,6029.0,7.0,6.836398299977767
1954,The Butterfly Effect,2119.0,7.3,6.835449813549747
307081,Southpaw,2112.0,7.3,6.834674076409479
33,Unforgiven,1133.0,7.7,6.833941391744258
10528,Sherlock Holmes,5883.0,7.0,6.833398676948206
239,Some Like It Hot,835.0,8.0,6.831339129180504
1949,Zodiac,2080.0,7.3,6.831094603205498
